dim time avg
2 0.0 0.0014541666666666665
53 0.005816666666666666 0.006783333333333333
53 0.021316666666666664 0.015062500000000001
53 0.03311666666666667 0.0265125
53 0.0458 0.04750833333333333
53 0.0898 0.06334583333333334
53 0.08466666666666667 0.08637500000000001
53 0.12523333333333334 0.11664999999999999
53 0.1669 0.1601375
53 0.26375 0.20237916666666667
53 0.2536333333333333 0.3222625
53 0.6047666666666667 0.40950000000000003
53 0.51585 0.48851666666666665
53 0.5798166666666666 0.6435833333333334
53 0.8739 0.811225
53 1.2753333333333332 1.0338
53 1.40615 1.141075
53 1.0089166666666667 1.1865375
53 1.05575 1.1812125
53 1.2540333333333333 1.3899833333333333
53 2.241233333333333 1.6219833333333333
53 1.9369166666666666 2.0275583333333334
53 2.67805 2.301445833333333
53 2.3495833333333334 2.7974083333333337
53 4.225083333333333 3.3592416666666667
53 4.1842500000000005 4.411841666666667
53 6.888450000000001 6.076833333333334
53 9.009549999999999 7.8112
53 11.162550000000001 8.6844625
53 7.6773 7.625383333333334
53 2.652133333333333 6.393108333333333
53 4.08045 4.242158333333333
53 2.5587500000000003 3.2908208333333335
53 3.87195 3.818941666666667
53 4.764616666666667 4.196608333333334
53 5.591116666666666 4.579295833333333
53 4.0895 4.8341375
53 4.8913166666666665 3.948383333333333
53 1.2216 3.0959
53 2.1811833333333337 3.0675583333333334
53 3.9761333333333337 2.5785958333333334
53 2.9354666666666662 3.048820833333333
53 3.1025 3.6290875
53 4.50225 3.9798916666666666
53 5.3793500000000005 4.22865
53 3.9305000000000003 4.820216666666667
53 5.468766666666666 5.036029166666666
53 5.3655 5.529191666666667
53 7.352 6.3868625
52 7.361183333333333 5.5635375
51 2.1754666666666664 4.310791666666666
50 0.3545166666666667 2.5678916666666667
49 0.3804 0.7925583333333334
48 0.25984999999999997 0.28765
47 0.15583333333333332 0.22419166666666665
46 0.10068333333333333 0.1393625
45 0.04108333333333333 0.078225
44 0.015300000000000001 0.041529166666666666
43 0.00905 0.0185875
42 0.008916666666666666 0.009666666666666665
41 0.0054 0.006891666666666667
40 0.0042 0.004966666666666666
39 0.00135 0.0028708333333333333
38 0.0005333333333333334 0.0015958333333333334
37 0.0003 0.0005625000000000001
36 6.666666666666667e-05 0.0002375
35 5e-05 0.0001125
34 3.3333333333333335e-05 4.1666666666666665e-05
33 1.6666666666666667e-05 2.9166666666666666e-05
32 1.6666666666666667e-05 1.6666666666666667e-05
31 0.0 1.25e-05
30 1.6666666666666667e-05 8.333333333333334e-06
